"dt","orders","buyers","item_gmv","paid_gmv","aov","avg_delivery_days","ontime_rate","bad_review_rate"
"2017-11-04",106,105,22074.22,22074.22,208.247358,11.8302,0.9528,0.1226
"2017-11-05",137,132,19815.72,19815.71,144.640292,11.0365,0.9708,0.1168
"2017-11-06",182,182,32103.93,32103.93,176.395220,13.0604,0.9341,0.1099
"2017-11-07",154,153,23396.09,23399.01,151.922662,11.1234,0.9481,0.1039
"2017-11-08",169,167,22458.68,22458.68,132.891598,11.6627,0.9349,0.1420
"2017-11-09",182,182,28045.13,28045.15,154.094121,11.7198,0.9615,0.1209
"2017-11-10",159,158,22010.46,22010.46,138.430566,13.3396,0.9308,0.1195
"2017-11-11",152,151,26054.42,26054.42,171.410658,13.9211,0.9342,0.0789
"2017-11-12",170,170,25953.39,25953.39,152.667000,12.4882,0.9353,0.1118
"2017-11-13",197,197,28630.29,28691.30,145.331421,12.9797,0.9086,0.1168
"2017-11-14",184,182,30755.36,30765.71,167.148696,15.1957,0.8859,0.1576
"2017-11-15",176,175,26278.57,26278.59,149.310057,12.5114,0.9261,0.1307
"2017-11-16",219,217,32236.16,32236.15,147.197078,13.2055,0.9087,0.1005
"2017-11-17",185,183,33589.38,33589.38,181.564216,13.1297,0.8973,0.1514
